1,1,2,全车撕膜除胶,"",0,2500.00,0.00,0,0.00,0.00,0,2024-08-31 02:06:21,2024-08-31 02:27:23,1
2,2,2,局部贴膜,"",0,500.00,0.00,0,0.00,0.00,0,2024-08-31 02:06:11,2024-08-31 02:10:25,1
3,3,2,前灯膜,"",0,600.00,0.00,0,0.00,0.00,0,2024-08-31 02:06:01,2024-08-31 02:10:25,1
4,4,2,威固VK70+K35,"",0,4000.00,0.00,0,0.00,0.00,0,2024-08-31 02:05:50,2024-08-31 02:10:25,1
5,5,2,威固VK70 K35/K15,"",0,6500.00,0.00,0,0.00,0.00,0,2024-08-31 02:05:34,2024-08-31 02:10:25,1
6,6,2,H10 Pro局部贴膜,"",0,0.00,0.00,0,0.00,0.00,0,2024-08-31 02:05:27,2024-08-31 02:10:25,1
7,7,2,	局部韩亚玻璃膜,"",0,800.00,0.00,0,0.00,0.00,0,2024-08-31 02:05:11,2024-08-31 02:10:25,1
8,8,2,局部威固玻璃膜VK70,"",0,2140.00,0.00,0,0.00,0.00,0,2024-08-31 02:05:00,2024-08-31 02:10:25,1
9,9,2,车身拉花工时,"",0,100.00,0.00,0,0.00,0.00,0,2024-08-31 02:04:50,2024-08-31 02:10:25,1
10,10,1,代洗车,"",0,168.00,0.00,0,0.00,0.00,0,2024-08-31 02:04:39,2024-08-31 02:10:25,1
